"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2009M08D12",127
" ","2009M08D13",141
" ","2009M08D14",132
" ","2009M08D15",133
" ","2009M08D16",142
" ","2009M08D17",145
" ","2009M08D18",145
" ","2009M08D19",132
" ","2009M08D20",137
" ","2009M08D21",133
" ","2009M08D22",129
" ","2009M08D23",119
" ","2009M08D24",139
" ","2009M08D25",151
" ","2009M08D26",125
" ","2009M08D27",139
" ","2009M08D28",134
" ","2009M08D29",119
" ","2009M08D30",136
" ","2009M08D31",134
" ","2009M09D01",146
" ","2009M09D02",126
" ","2009M09D03",155
" ","2009M09D04",156
" ","2009M09D05",114
" ","2009M09D06",118
" ","2009M09D07",145
" ","2009M09D08",135
" ","2009M09D09",138
" ","2009M09D10",148
" ","2009M09D11",135
" ","2009M09D12",169
" ","2009M09D13",122
" ","2009M09D14",130
" ","2009M09D15",115
" ","2009M09D16",112
" ","2009M09D17",142
" ","2009M09D18",148
" ","2009M09D19",142
" ","2009M09D20",131
" ","2009M09D21",129
" ","2009M09D22",132
" ","2009M09D23",133
" ","2009M09D24",131
" ","2009M09D25",130
" ","2009M09D26",161
" ","2009M09D27",120
" ","2009M09D28",146
" ","2009M09D29",142
" ","2009M09D30",135
" ","2009M10D01",155
" ","2009M10D02",140
" ","2009M10D03",150
" ","2009M10D04",135
" ","2009M10D05",116
" ","2009M10D06",137
" ","2009M10D07",146
" ","2009M10D08",129
" ","2009M10D09",142
" ","2009M10D10",136
" ","2009M10D11",145
" ","2009M10D12",150
" ","2009M10D13",111
" ","2009M10D14",139
" ","2009M10D15",123
" ","2009M10D16",135
" ","2009M10D17",152
" ","2009M10D18",140
" ","2009M10D19",147
" ","2009M10D20",149
" ","2009M10D21",146
" ","2009M10D22",147
" ","2009M10D23",181
" ","2009M10D24",130
" ","2009M10D25",152
" ","2009M10D26",148
" ","2009M10D27",155
" ","2009M10D28",136
" ","2009M10D29",157
" ","2009M10D30",149
" ","2009M10D31",145
" ","2009M11D01",149
" ","2009M11D02",133
" ","2009M11D03",148
" ","2009M11D04",173
" ","2009M11D05",134
" ","2009M11D06",164
" ","2009M11D07",144
" ","2009M11D08",137
" ","2009M11D09",136
" ","2009M11D10",164
" ","2009M11D11",162
" ","2009M11D12",127
" ","2009M11D13",145
" ","2009M11D14",142
" ","2009M11D15",148
" ","2009M11D16",157
" ","2009M11D17",149
" ","2009M11D18",157
" ","2009M11D19",149
" ","2009M11D20",171
" ","2009M11D21",140
" ","2009M11D22",163
" ","2009M11D23",159
" ","2009M11D24",140
" ","2009M11D25",164
" ","2009M11D26",157
" ","2009M11D27",127
" ","2009M11D28",130
" ","2009M11D29",138
" ","2009M11D30",169
" ","2009M12D01",155
" ","2009M12D02",136
" ","2009M12D03",169
" ","2009M12D04",158
" ","2009M12D05",149
" ","2009M12D06",140
" ","2009M12D07",157
" ","2009M12D08",171
" ","2009M12D09",151
" ","2009M12D10",161
" ","2009M12D11",148
" ","2009M12D12",155
" ","2009M12D13",147
" ","2009M12D14",149
" ","2009M12D15",142
" ","2009M12D16",145
" ","2009M12D17",146
" ","2009M12D18",157
" ","2009M12D19",150
" ","2009M12D20",169
" ","2009M12D21",168
" ","2009M12D22",157
" ","2009M12D23",144
" ","2009M12D24",160
" ","2009M12D25",162
" ","2009M12D26",138
" ","2009M12D27",169
" ","2009M12D28",162
" ","2009M12D29",170
" ","2009M12D30",167
" ","2009M12D31",149
" ","2010M01D01",157
" ","2010M01D02",160
" ","2010M01D03",152
" ","2010M01D04",165
" ","2010M01D05",174
" ","2010M01D06",189
" ","2010M01D07",163
" ","2010M01D08",145
" ","2010M01D09",154
" ","2010M01D10",169
" ","2010M01D11",162
" ","2010M01D12",187
" ","2010M01D13",167
" ","2010M01D14",165
" ","2010M01D15",143
" ","2010M01D16",154
" ","2010M01D17",149
" ","2010M01D18",157
" ","2010M01D19",158
" ","2010M01D20",156
" ","2010M01D21",161
" ","2010M01D22",162
" ","2010M01D23",163
" ","2010M01D24",163
" ","2010M01D25",128
" ","2010M01D26",157
" ","2010M01D27",183
" ","2010M01D28",151
" ","2010M01D29",141
" ","2010M01D30",147
" ","2010M01D31",151
" ","2010M02D01",167
" ","2010M02D02",171
" ","2010M02D03",157
" ","2010M02D04",149
" ","2010M02D05",163
" ","2010M02D06",137
" ","2010M02D07",158
" ","2010M02D08",164
" ","2010M02D09",137
" ","2010M02D10",188
" ","2010M02D11",167
